,modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
1367,text,Out,14,24,counts,9,SVC,up,0.6157729110308572,0.09487700125324387,0.5633333333333332,0.0816184118101647,0.6567196971770098,0.08001912112738196,0.5930000000000001,0.13352637540685708,0.5176923076923078,0.1598872204281222,0.5553461538461539,0.08253589225452422
1368,text,Out,14,6,counts,8,SVC,up,0.6157257879860569,0.0961888751406368,0.5875757575757578,0.08204912480227444,0.7092907845792351,0.09903630740636504,0.5619999999999998,0.13709098947027626,0.6269230769230768,0.1740347321094145,0.5944615384615383,0.08467288079765363
1369,text,Out,14,24,average_length,5,RFC,down,0.6157059149565269,0.0764265076183129,0.5681818181818183,0.07003153619221024,0.6692502928645814,0.07329224297192892,0.5805000000000002,0.10961249467966223,0.5492307692307693,0.14871794871794872,0.5648653846153846,0.07384672799488665
1370,call,All,14,24,unique_contacts,11,RFC,up,0.6155763976212115,0.05750747499865989,0.5587142857142858,0.05231775014279691,0.5972661109137666,0.044795506070654224,0.64,0.08730889126908761,0.4564516129032259,0.09116755530245936,0.548225806451613,0.05203658580136866
1371,text,Out,14,6,counts,15,RFC,down,0.6155465603121066,0.08815188122747268,0.5809090909090907,0.07657108363708028,0.6927371116014001,0.08389006850273666,0.5670000000000001,0.12456388568185248,0.6023076923076921,0.15072791721044027,0.5846538461538462,0.07770820188685179
1372,text,Out,14,12,combined,9,RFC,down,0.6155381177013315,0.08532833056348674,0.5739393939393941,0.07581204041564495,0.6779061446043377,0.07848008731130524,0.5739999999999998,0.11644567814906635,0.5738461538461537,0.14685758679046865,0.5739230769230771,0.07797470735916419
1373,text,Out,14,6,average_length,8,SVC,up,0.6154957807032786,0.0810359510404089,0.5687878787878791,0.06835318396064083,0.6714002559420994,0.07777278750699458,0.5834999999999999,0.12753589314543584,0.5461538461538462,0.17407765595569788,0.564826923076923,0.07317260278259749
1374,text,All,14,12,counts,14,RFC,up,0.6154714470806215,0.04552104859785484,0.5350000000000001,0.04593851913565234,0.5922243610898867,0.036025981641124236,0.6428070175438593,0.06623342442148739,0.3851219512195124,0.07098611128665566,0.513964484381686,0.04575772682402685
1375,call,In,14,24,average_length,6,RFC,up,0.6154298294693448,0.060770523482687175,0.5568852459016391,0.05676249310254836,0.6122377359570558,0.04927139827793256,0.6245714285714287,0.09375644003167416,0.4657692307692304,0.1045688399132176,0.5451703296703295,0.0568851772146977
1376,text,In,14,4,average_length,15,RFC,up,0.6154238501448441,0.049636123393252525,0.5327083333333333,0.04788463282899043,0.581556956079464,0.03684115022421743,0.6572727272727268,0.07899422015944721,0.36560975609756097,0.08642360205373315,0.5114412416851439,0.04780559150372599
1377,text,Out,14,12,unique_contacts,6,SVC,up,0.6152035233002152,0.08932755641081973,0.5839393939393936,0.07569388200932034,0.7009483824266398,0.08744681300300135,0.5625,0.12499999999999994,0.6169230769230769,0.16580555743429792,0.5897115384615383,0.07938295624098153
1378,text,Out,14,12,unique_contacts,7,SVC,down,0.615128884320226,0.09478523552232354,0.5957575757575759,0.07171264487323313,0.7252101692308183,0.08298477053509012,0.5494999999999999,0.12978128454512164,0.6669230769230771,0.16255645493177334,0.6082115384615384,0.07368721108442926
1379,call,All,14,12,counts,12,SVC,up,0.6150045715167295,0.06217545378526895,0.5661428571428572,0.05723855622838037,0.606535390298225,0.0470850666930475,0.6287179487179486,0.09520894613279672,0.4874193548387098,0.08661755859417777,0.5580686517783293,0.05585281669994973
1380,text,Out,14,6,counts,11,RFC,down,0.6148795821221453,0.08474152177435931,0.5763636363636364,0.07692458952679762,0.6858399955139756,0.08399511803608406,0.5690000000000002,0.1149835297823654,0.5876923076923081,0.1513077296369065,0.578346153846154,0.0801226664752442
1381,call,In,14,6,average_length,14,LR,up,0.6148648255629374,0.06129605109544159,0.5778688524590163,0.054762664759085325,0.6454008810557397,0.056371188646507135,0.5934285714285715,0.0886793551817818,0.5569230769230774,0.10522197194196507,0.5751758241758244,0.055649736896713486
1382,call,In,14,24,unique_contacts,2,RFC,up,0.6148579231496156,0.05346617918989152,0.5613114754098361,0.049048783617881515,0.6196238659650565,0.04439430044080582,0.6157142857142857,0.0831630914122523,0.4880769230769229,0.10208146933780314,0.5518956043956047,0.050306135166374735
1383,text,Out,14,24,counts,5,SVC,down,0.6148422976244923,0.1003649735036271,0.5884848484848484,0.0816280710291894,0.703440657903291,0.08600884081712262,0.5574999999999999,0.13014657626357792,0.6361538461538461,0.1333938360128502,0.5968269230769232,0.07908168574796533
1384,text,All,14,6,counts,9,RFC,up,0.6147802358116192,0.044310055268180805,0.5392857142857146,0.04164220629194037,0.5976535600563434,0.03248330387219594,0.6357894736842102,0.0691993071154397,0.4051219512195123,0.07344900685727453,0.5204557124518613,0.041145671109861226
1385,text,Out,14,6,counts,14,RFC,down,0.6147478213944981,0.08382723457970125,0.5769696969696969,0.07270176065130368,0.6856933373670049,0.07317921998800976,0.5695,0.11825648379516428,0.5884615384615385,0.14602292422636068,0.5789807692307689,0.07428169714506593
1386,text,Out,14,4,combined,11,LR,down,0.614746557663117,0.0961743300137102,0.5703030303030302,0.0888325224071823,0.6710864291539214,0.09049050919722963,0.5770000000000001,0.12173410335313573,0.56,0.1503407958940195,0.5684999999999998,0.09080655041214082
1387,text,All,14,6,counts,12,RFC,up,0.6146633596509571,0.04621130928276769,0.5325510204081635,0.04277153252020584,0.5892923675800442,0.031856116706447016,0.6452631578947363,0.07323559882334149,0.37585365853658537,0.07079963775908979,0.5105584082156612,0.041327958030227936
1388,text,Out,14,24,counts,8,SVC,up,0.6146446095129682,0.08113324119887977,0.5606060606060607,0.07031242350936118,0.6551965748646389,0.06953629194299775,0.5910000000000001,0.1206840770965518,0.513846153846154,0.15105470650061156,0.5524230769230768,0.07219886129497444
1389,text,Out,14,6,average_length,11,KNN,up,0.6146441361786029,0.07786931041186276,0.5627272727272725,0.07363163355640667,0.6586787522045566,0.07029809898149092,0.5840000000000001,0.10538050343896872,0.5299999999999999,0.13206089991452855,0.5569999999999998,0.07555233629540507
1390,text,Out,14,6,counts,7,RFC,down,0.6146303848209633,0.08797236154695509,0.5839393939393941,0.08102072572413113,0.7008450166534533,0.08445891103622465,0.5585,0.11721839239279605,0.6230769230769228,0.1501100347512535,0.5907884615384615,0.08363996616088472
1391,text,Out,14,6,combined,3,KNN,up,0.6146249819830409,0.09090254803575733,0.5654545454545457,0.08755362406619553,0.6631526084066095,0.08826464150878632,0.5810000000000001,0.11432277537611205,0.5415384615384615,0.14501457576076052,0.561269230769231,0.09004155496737692
1392,call,In,14,4,average_length,2,RFC,up,0.6146070282498001,0.06341514842983165,0.5639344262295078,0.0604021228159788,0.6222777262039252,0.05344860291289008,0.6111428571428571,0.08555974524380199,0.5003846153846154,0.0923683755467615,0.5557637362637362,0.06037037256235999
1393,text,Out,14,24,combined,4,KNN,up,0.6145897786054707,0.08550335656227427,0.5624242424242427,0.07439172783645244,0.6572690298786781,0.07151484648773214,0.5895000000000001,0.12578942641565624,0.5207692307692308,0.14784528143583964,0.5551346153846152,0.07468232834716665
1394,text,All,14,12,average_length,9,RFC,up,0.6145457712565183,0.04453348678267455,0.5402040816326531,0.04203048789075026,0.5990712163456104,0.03349987877833867,0.6340350877192981,0.07052985109848316,0.4097560975609753,0.07665985145418636,0.521895592640137,0.041737624535847034
1395,text,Out,14,4,counts,15,LR,up,0.6145360526312931,0.08428405573249173,0.5515151515151514,0.07359950379986732,0.6381720589471702,0.0675969054850258,0.6020000000000002,0.11826182218221812,0.4738461538461539,0.13860822757218375,0.5379230769230768,0.07396259193051842
1396,text,Out,14,24,unique_contacts,6,RFC,down,0.6144298982686908,0.0922933190348635,0.573030303030303,0.0835280303429029,0.6742407685948608,0.07711724668236318,0.5735,0.12153375887157668,0.5723076923076921,0.13225311029685796,0.5729038461538462,0.08275128225351945
1397,text,Out,14,12,combined,4,KNN,down,0.6144212440787836,0.071686633511866,0.5709090909090909,0.06874086356093052,0.6761798467255662,0.06954103356899435,0.5719999999999998,0.10158342344689866,0.5692307692307691,0.1433898041886219,0.5706153846153846,0.07319750408332547
