modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
text,Out,14,24,combined,2,LR,up,0.590516861854599,0.08550496520250647,0.5891666666666667,0.07325887710848705,0.5961699400530671,0.08921209333337335,0.6050000000000001,0.1343291934428212,0.5733333333333335,0.15859229221975185,0.5891666666666667,0.07325887710848707
text,Out,14,12,combined,1,LR,up,0.5904976644826649,0.08894243065681716,0.5741666666666668,0.07386913991410642,0.5675898590573514,0.07187409533196251,0.6275000000000001,0.1373424002433392,0.5208333333333334,0.11866671868496571,0.5741666666666668,0.07386913991410639
text,Out,14,4,unique_contacts,4,LR,up,0.590192659101417,0.08062862658615234,0.5733333333333333,0.07470480627649122,0.5728143167032486,0.08141755871293564,0.6233333333333332,0.12222222222222227,0.5233333333333333,0.1475006895682867,0.5733333333333333,0.07470480627649122
text,Out,14,4,average_length,4,SVC,down,0.5896664118204482,0.10011099642869112,0.5470833333333333,0.06872225488514123,0.5422055082430471,0.07359267329184609,0.6841666666666666,0.19616661588984635,0.41000000000000014,0.1905011407420385,0.5470833333333333,0.06872225488514123
text,Out,14,4,unique_contacts,7,SVC,up,0.5896461980866237,0.08993892533945325,0.5641666666666668,0.07593875640954399,0.5581202079224528,0.07006241388511518,0.6425,0.14760290024798345,0.4858333333333335,0.1446070374711939,0.5641666666666668,0.07593875640954399
text,Out,14,4,average_length,12,SVC,down,0.5895237225567675,0.1084141247512172,0.5658333333333332,0.07748411371879968,0.5629325045869167,0.09222471415159293,0.6541666666666667,0.1896504996275482,0.4774999999999999,0.19276147574654673,0.5658333333333332,0.07748411371879968
text,Out,14,4,combined,4,LR,up,0.5894006638645888,0.09220459316363293,0.5566666666666666,0.08044663482703542,0.5498351103231132,0.07515096537197868,0.6525000000000002,0.15354719020029733,0.4608333333333332,0.1546397101494523,0.5566666666666666,0.08044663482703542
text,Out,14,4,average_length,11,SVC,down,0.5893413837810345,0.10519639117316466,0.5608333333333334,0.07731191651657442,0.5549741996479615,0.08716832017216952,0.6574999999999995,0.1830710551216236,0.46416666666666656,0.17658016750347577,0.5608333333333334,0.07731191651657442
text,Out,14,24,unique_contacts,4,RFC,down,0.5892344180202295,0.09436143345161935,0.5862499999999996,0.08317640948849876,0.5874223475612798,0.08416132398865557,0.6066666666666667,0.14266581704646475,0.5658333333333333,0.1452072901986116,0.5862499999999996,0.08317640948849878
text,Out,14,4,average_length,15,LR,up,0.588991220099168,0.09626601619301589,0.5662499999999998,0.09214654769118007,0.5642549084902025,0.0945976973242558,0.6316666666666664,0.14073520279730053,0.5008333333333334,0.16218511752216666,0.5662499999999998,0.09214654769118007
text,Out,14,24,unique_contacts,4,RFC,up,0.5889437352101031,0.0976766908934113,0.5787499999999999,0.09361920355873544,0.5798080242770648,0.09554667135399478,0.6133333333333333,0.13737559416451622,0.544166666666667,0.15599460047059974,0.5787499999999999,0.09361920355873543
text,Out,14,4,average_length,2,SVC,up,0.5889304325497499,0.10604365308135474,0.5445833333333333,0.05929788172148683,0.5367293135571002,0.05370509551688777,0.6966666666666665,0.2182472778720068,0.39250000000000007,0.2035373900191374,0.5445833333333333,0.05929788172148683
text,Out,14,12,unique_contacts,1,LR,down,0.58881967142031,0.09555076369157856,0.5545833333333333,0.0780512418377377,0.5441953659515579,0.07179979602513299,0.655,0.1526146971665763,0.45416666666666644,0.12667231513190017,0.5545833333333333,0.07805124183773768
text,Out,14,4,average_length,12,LR,up,0.5887732262867255,0.09634321925033143,0.575,0.0831226292456202,0.5734086958792842,0.09469266844504393,0.6216666666666668,0.14283289035758268,0.5283333333333335,0.15407848510909272,0.575,0.0831226292456202
text,Out,14,4,unique_contacts,6,SVC,up,0.5885051326827284,0.08125449981027323,0.561666666666667,0.07044232543095957,0.5573294444633455,0.0682043475983239,0.6408333333333336,0.13999308544733188,0.4825,0.14855032741644533,0.561666666666667,0.07044232543095957
text,Out,14,6,combined,2,LR,down,0.5884746432335595,0.08138063640485918,0.5733333333333333,0.07610023515893881,0.5754890910602987,0.08354165564609754,0.6208333333333337,0.13156177896145096,0.5258333333333333,0.16356327866592224,0.5733333333333333,0.07610023515893881
text,Out,14,24,combined,2,LR,down,0.5883789387500302,0.08553722051364863,0.5891666666666666,0.07630734858328816,0.5993271529382213,0.09824151531127302,0.5983333333333332,0.132096536478043,0.5800000000000001,0.16323057304792296,0.5891666666666666,0.07630734858328816
text,Out,14,4,unique_contacts,5,LR,down,0.5880976061239861,0.08218080057841251,0.5758333333333333,0.07684779511421878,0.5789099450171432,0.08691366724487873,0.6150000000000001,0.12634239904218666,0.5366666666666667,0.1599312422407483,0.5758333333333333,0.07684779511421877
text,Out,14,4,average_length,6,SVC,up,0.5880549246847794,0.09374728644935543,0.5429166666666666,0.06867120012166959,0.5369629288410249,0.06755595403625522,0.6791666666666665,0.18016663629822488,0.4066666666666666,0.17619242618163544,0.5429166666666666,0.06867120012166959
text,Out,14,4,combined,1,LR,down,0.588007428046988,0.09208668764912492,0.5745833333333334,0.07773605482642884,0.5703605570126465,0.07890975140020312,0.6208333333333332,0.14083236207901298,0.5283333333333332,0.13040771771450563,0.5745833333333334,0.07773605482642885
text,Out,14,4,combined,3,LR,up,0.5876547454569674,0.0889030278950691,0.56125,0.07866891189799416,0.5580245796515148,0.07897129426054926,0.6400000000000002,0.14740554623801777,0.4824999999999999,0.16253075337069536,0.56125,0.07866891189799416
text,Out,14,4,average_length,10,SVC,up,0.5874915356030671,0.0985387940598082,0.5537500000000002,0.07498012269329875,0.5513796834400551,0.08053028118966615,0.6641666666666666,0.18968008686611085,0.4433333333333334,0.19779934055648196,0.5537500000000002,0.07498012269329875
text,Out,14,4,average_length,13,SVC,up,0.5874017784905781,0.10125339906817177,0.5566666666666668,0.07573063494030934,0.552750777473301,0.08486744597879431,0.6575,0.1784138714894189,0.4558333333333336,0.17745195837427152,0.5566666666666668,0.07573063494030936
text,Out,14,4,average_length,4,SVC,up,0.5874012675445389,0.09433290786194433,0.54625,0.06264573357304234,0.5406746237079055,0.06262594268671225,0.6758333333333336,0.18611111111111114,0.41666666666666674,0.18539550346442077,0.54625,0.06264573357304234
text,Out,14,12,combined,1,LR,down,0.5872425307513306,0.08838986897438275,0.572916666666667,0.0735825177933155,0.5676695796893165,0.07267713451891178,0.6208333333333335,0.13627592577608105,0.5249999999999999,0.12049980091353688,0.572916666666667,0.0735825177933155
text,Out,14,4,average_length,5,SVC,up,0.5872014657652436,0.09703918047149158,0.5420833333333334,0.06554587113880292,0.5384002463320173,0.07044438818214095,0.6833333333333332,0.19025058789734714,0.4008333333333335,0.18902809784074015,0.5420833333333334,0.06554587113880292
text,Out,14,12,average_length,13,SVC,up,0.5871326182045522,0.08029940951198643,0.5958333333333331,0.07265314333745355,0.6106468572277397,0.09952267182234482,0.5841666666666665,0.12450519350563873,0.6075,0.15815602334928971,0.5958333333333331,0.07265314333745355
text,Out,14,12,average_length,14,SVC,down,0.5870570953937907,0.09549504508816346,0.6054166666666666,0.07999522116759272,0.6247076617053398,0.11142446054095749,0.5733333333333331,0.1382713544169608,0.6375000000000002,0.15505646848006188,0.6054166666666666,0.07999522116759275
text,Out,14,24,unique_contacts,5,RFC,up,0.5869331614243474,0.09902082287673067,0.5683333333333332,0.09485206154979933,0.5665627108529587,0.09507263924447756,0.625,0.1462685904805513,0.5116666666666667,0.1521543755016178,0.5683333333333332,0.09485206154979932
text,Out,14,4,unique_contacts,3,SVC,down,0.5867710031412784,0.0855068985725701,0.5633333333333332,0.07019293597208763,0.5584257654969729,0.0694814978392744,0.635,0.14153043558729997,0.4916666666666665,0.14482273695898654,0.5633333333333332,0.07019293597208762
text,Out,14,4,unique_contacts,2,LR,down,0.5867636526806826,0.09840324328703404,0.5675000000000001,0.08536660888460965,0.5614865527489368,0.08585524479325563,0.6266666666666669,0.1393829596027055,0.5083333333333332,0.13582478645313334,0.5675000000000001,0.08536660888460963
text,Out,14,12,unique_contacts,1,LR,up,0.5867386528286238,0.09383742797383886,0.55125,0.07487714404500681,0.5413440707039779,0.06867125111665581,0.6550000000000001,0.15307363456259956,0.4474999999999998,0.12737915423562157,0.55125,0.0748771440450068
