,modality,direction,day,interval,variable,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
62,text,In,14,24,counts,up,0.5512642178125512,0.04804914833532456,0.5014583333333331,0.04735526045796312,0.5694942737618727,0.04451474100007732,0.536909090909091,0.0635880703542463,0.4539024390243903,0.08448281539046333,0.4954057649667405,0.048992574320803235
63,text,In,14,24,unique_contacts,up,0.5507909963934636,0.056054596642539936,0.496875,0.04931622448235636,0.5623496567004141,0.04520690523293937,0.542181818181818,0.07338454146335449,0.4360975609756098,0.07115394187814876,0.489139689578714,0.04844999078827171
64,call,All,14,12,unique_contacts,up,0.5502435080009291,0.060514236098124286,0.5260000000000001,0.05606413266749427,0.5839264322094713,0.058090445281437086,0.5235897435897434,0.07372079203552362,0.5290322580645159,0.09192819507729226,0.5263110008271302,0.05716230216457351
65,call,In,14,12,unique_contacts,up,0.5491100335038027,0.07155990540308155,0.5414754098360657,0.06087017852743016,0.6296451928966208,0.06925993044727527,0.4919999999999998,0.086773636473337,0.6080769230769232,0.09880872525359848,0.5500384615384614,0.061348638808945324
66,text,All,14,4,counts,down,0.5482640126586246,0.05149695606521965,0.5109183673469389,0.04888878323567409,0.5931014097483365,0.050635158303005134,0.512982456140351,0.06545909128666838,0.5080487804878049,0.09205026480874197,0.5105156183140778,0.05130441964474347
67,text,All,14,24,unique_contacts,up,0.5478963997040961,0.049323643615849004,0.4990816326530612,0.04577429929286681,0.5766954641470415,0.04393955679080939,0.5247368421052633,0.06521999376710275,0.4634146341463416,0.08420532368736802,0.4940757381258024,0.04727852074664786
68,call,All,14,12,average_length,up,0.547505383822033,0.046919057429299166,0.5108571428571429,0.04771073424323342,0.5660446870283132,0.046955359312364144,0.5330769230769231,0.06166513337684065,0.4829032258064517,0.08966560398123173,0.5079900744416873,0.04973343338598201
69,call,In,14,4,average_length,down,0.546883323527751,0.06299911314805813,0.5203278688524589,0.055562097345714455,0.5986805678075175,0.06004771431748241,0.5097142857142856,0.08349409354545947,0.5346153846153845,0.11223358668862617,0.522164835164835,0.05798559200276648
70,call,In,14,24,unique_contacts,up,0.5451922475806197,0.06372347020498442,0.5275409836065571,0.05461400025703804,0.6093629419902291,0.06109164266213603,0.4982857142857142,0.08084484836597862,0.5669230769230771,0.10044726942932684,0.5326043956043957,0.05596496079219959
71,text,In,14,4,unique_contacts,up,0.5450960285006321,0.05189959271523314,0.4920833333333334,0.05010160831754295,0.5595550264731178,0.04674042792704526,0.5338181818181815,0.0672163663341293,0.4360975609756097,0.07990524315685149,0.4849578713968957,0.050846219757246285
72,call,In,14,12,counts,up,0.5449874375201342,0.06324201240458374,0.5070491803278686,0.061614844355708076,0.5795264434333974,0.06168389465498887,0.5177142857142856,0.07718827159818377,0.4926923076923078,0.0983540047503574,0.5052032967032969,0.06314379589430111
73,text,All,14,6,unique_contacts,up,0.543906577437841,0.049939180070656834,0.5081632653061224,0.04220977430609132,0.5894095329079867,0.039675484284655366,0.5075438596491227,0.06589152696664564,0.5090243902439026,0.06736916480176973,0.5082841249465126,0.04153764095833872
74,text,All,14,12,counts,down,0.5437439461080241,0.04984563201920359,0.4962244897959182,0.04557996193836291,0.5744542000583536,0.04410715309752576,0.519122807017544,0.06602539070050714,0.4643902439024389,0.08455568816644056,0.4917565254599913,0.04701973484727984
75,call,All,14,24,unique_contacts,up,0.5434966964319479,0.056273020246530386,0.5412857142857146,0.04700447572297947,0.609472298251038,0.050614076161576434,0.4935897435897435,0.0695676093850415,0.6012903225806451,0.07527161005850527,0.5474400330851945,0.04708481053296962
76,call,Out,14,6,unique_contacts,up,0.5430298296166389,0.07409314238169047,0.5068181818181818,0.06469146591414318,0.5465822233396922,0.057438345759750875,0.5438888888888889,0.09950463414327512,0.4623333333333332,0.08497111148358867,0.5031111111111112,0.06344792437204379
77,call,In,14,4,unique_contacts,up,0.5411052557969646,0.0748381637793383,0.5093442622950821,0.06365187372089072,0.5822332482124795,0.06408738677558308,0.5105714285714283,0.09337175638121764,0.5076923076923079,0.1000567647148473,0.5091318681318683,0.06348889361264923
78,call,In,14,12,counts,down,0.540539741266883,0.06485795135328197,0.510983606557377,0.05986288292928544,0.5866241000384431,0.061956431889516675,0.5054285714285713,0.08057666823608453,0.5184615384615383,0.0987762065859396,0.5119450549450548,0.06106282239806581
79,text,In,14,6,unique_contacts,up,0.5403681304029991,0.046988596681214016,0.4981250000000002,0.04268998024806578,0.5684920137995771,0.04195294174857934,0.5174545454545454,0.06073924759450931,0.4721951219512195,0.07916788227953779,0.4948248337028824,0.044112841648106936
80,text,All,14,12,unique_contacts,up,0.5401771476410069,0.052897946918891374,0.4806122448979593,0.05060644263560418,0.5565233076932672,0.046373732065782686,0.5275438596491229,0.0694296271161585,0.4153658536585363,0.08649032394515759,0.4714548566538298,0.051824795000223606
81,call,In,14,4,counts,up,0.5399188884249385,0.064481602818464,0.5057377049180327,0.0588254256060464,0.5800032236319067,0.060010620226373386,0.5102857142857142,0.08479740489138901,0.4996153846153848,0.10994630320383487,0.5049505494505493,0.060764045608384325
82,text,In,14,6,average_length,down,0.5394732250996839,0.050094012736160695,0.5042708333333331,0.04439447850263322,0.5769040060495384,0.045301884679655284,0.5098181818181816,0.06501433440483219,0.496829268292683,0.08482069973148634,0.5033237250554324,0.04594236562778437
83,call,All,14,6,counts,down,0.5382316499208158,0.06262952395242123,0.529714285714286,0.04964022281672978,0.5938149629079084,0.05548229313832173,0.4971794871794872,0.08172810935639611,0.5706451612903225,0.08683571171287904,0.5339123242349048,0.04952289700243708
84,call,In,14,6,unique_contacts,up,0.5373563597985163,0.06980111541222499,0.5106557377049181,0.056806473918544265,0.5857173818695458,0.058567191888682965,0.5017142857142857,0.0911069378754744,0.5226923076923073,0.09611032426072716,0.5122032967032965,0.05634087263713359
85,call,Out,14,24,unique_contacts,up,0.5373378211735897,0.07275356131256464,0.5034848484848484,0.061398817321161474,0.5439067632502838,0.05529788243579697,0.5355555555555558,0.09926152065367078,0.465,0.0811498454627657,0.5002777777777778,0.059857955276025436
86,text,In,14,12,counts,down,0.5365263438407029,0.06017736795909232,0.5025000000000002,0.049507429239901785,0.5731247435904392,0.04576486768438137,0.5072727272727273,0.0786606304483768,0.4960975609756098,0.06643190507765225,0.5016851441241683,0.04750666600997716
87,call,In,14,6,average_length,down,0.5364697624964347,0.06725994873276389,0.5101639344262295,0.05937225966862366,0.5877428694608099,0.06660444278871573,0.4988571428571427,0.08376031613268717,0.5253846153846154,0.11166231100618028,0.5121208791208791,0.061627238225666764
88,call,All,14,12,counts,up,0.5361471543884754,0.05567652537369317,0.5107142857142857,0.047678534272620914,0.5676471748995854,0.047900796999903884,0.5112820512820512,0.07314561673618689,0.5099999999999999,0.0781725875679043,0.5106410256410256,0.047660567483182016
89,call,Out,14,4,unique_contacts,up,0.535905589435548,0.05822023035366829,0.4889393939393937,0.05468705050949733,0.5307429721536693,0.0496510431088302,0.5447222222222226,0.07934674912579928,0.4219999999999999,0.09103717127873218,0.4833611111111111,0.0551917027200041
90,call,Out,14,12,unique_contacts,up,0.5323968150166283,0.06223133676037065,0.4943939393939393,0.054763321992557686,0.5361307825212815,0.05127929005917898,0.5322222222222226,0.08363395085357665,0.4489999999999998,0.08198642136622354,0.4906111111111112,0.05435398128202877
91,text,Out,14,24,counts,down,0.5320520520108734,0.09565297389712037,0.4945454545454544,0.0787007123008879,0.6018143331612674,0.08119481620002493,0.4850000000000001,0.1166666666666667,0.5092307692307694,0.1333602268018557,0.4971153846153846,0.07880065774767835
92,text,All,14,6,counts,down,0.5279480144602148,0.058367229027727376,0.4892857142857142,0.052340678764616934,0.5699060976441661,0.05176258671485899,0.4943859649122804,0.07181238061924702,0.4821951219512195,0.07773828049950011,0.4882905434317501,0.05230233204120358
93,call,All,14,12,counts,down,0.5256556572035941,0.06727438830155248,0.5095714285714287,0.05671030369015824,0.5694522037817065,0.05904383940371799,0.4930769230769229,0.0869227751375905,0.5303225806451616,0.0935511960118062,0.5116997518610421,0.05674482939684676
94,text,In,14,24,counts,down,0.524047241226888,0.05511212739191698,0.4933333333333333,0.04938329694172935,0.5676812686738089,0.05110281912896076,0.4900000000000002,0.06799945001569938,0.4978048780487804,0.09013996931497817,0.4939024390243902,0.05112764121993835
95,call,All,14,12,average_length,down,0.5234906784157382,0.05833326196989104,0.4985714285714285,0.0470310011487947,0.5547339997578438,0.0460681007556703,0.4987179487179488,0.07691228448852036,0.4983870967741937,0.06959104864902657,0.4985525227460713,0.04591184120094785
96,call,In,14,4,counts,down,0.521358794545305,0.07033759140297234,0.5003278688524588,0.06249955548339532,0.5794541544843348,0.06858838783324972,0.4794285714285712,0.0883743093487904,0.5284615384615384,0.11224956186295644,0.5039450549450548,0.06424366659506889
97,call,All,14,4,counts,up,0.5212150081280368,0.05604558810856304,0.5088571428571431,0.04997546295480311,0.5715114823215398,0.05414914952495852,0.4833333333333332,0.07292329257416919,0.5409677419354836,0.09713790671887597,0.5121505376344084,0.05168559878212201
98,call,Out,14,24,average_length,down,0.5190438728285091,0.06512225783979424,0.5113636363636366,0.05394076101485682,0.5605647014620034,0.058110973152024015,0.4886111111111111,0.0856027498209307,0.5386666666666667,0.09625070145647872,0.513638888888889,0.05434582876934082
99,call,All,14,24,counts,up,0.5187929715397318,0.06508271028410187,0.4941428571428571,0.05376353242755582,0.5501996496490491,0.05337947688110957,0.4943589743589743,0.08374958301399661,0.4938709677419356,0.07790320725453742,0.4941149710504548,0.05279660249181127
100,call,Out,14,24,average_length,up,0.5186736901869672,0.06703083739746893,0.5053030303030304,0.05559206580583622,0.5523721115108741,0.05711012768912676,0.4944444444444445,0.0900319323711848,0.5183333333333335,0.0981735562055645,0.5063888888888887,0.05579004944575015
101,call,All,14,24,unique_contacts,down,0.5182450099446853,0.07205115448345285,0.5394285714285715,0.05616478978529583,0.6194969625076451,0.06807538932267952,0.4497435897435894,0.08385577273828089,0.6522580645161291,0.08041086852560425,0.5510008271298593,0.05544503040079468
